AOT87930.1	AOT87930.1
ASB32519.1	AEO91994.1
ASB32519.1	AEZ02139.1
ASB32519.1	AEZ02178.1
ASB32519.1	AEZ02262.1
ASB32519.1	AEZ02273.1
ASB32519.1	AEZ02283.1
ASB32519.1	AFC92985.1
ASB32519.1	AFC92989.1
ASB32519.1	ADY71415.1
ASB32519.1	ADY80076.1
ASB32519.1	ADM32005.1
ASB32519.1	ADM32568.1
ASB32519.1	ADM32848.1
ASB32519.1	ADM52500.1
ASB32519.1	ADJ40631.1
ASB32519.1	AEW10593.1
ASB32519.1	ACI89698.2
ASB32519.1	ACS92894.1
ASB32519.1	ACV42028.1
ASB32519.1	ACV42039.1
ASB32519.1	ACV42061.1
ASB32519.1	ACV42072.1
ASB32519.1	ACV42083.1
ASB32519.1	ACV42094.1
ASB32519.1	ACV42127.1
ASB32519.1	ACV42138.1
ASB32519.1	ACV42149.1
ASB32519.1	ACV42160.1
ASB32519.1	ACV42171.1
ASB32519.1	ACV42182.1
ASB32519.1	ACV42193.1
ASB32519.1	ACV42204.1
ASB32519.1	ACV42215.1
ASB32519.1	ACV42226.1
ASB32519.1	ACV42237.1
ASB32519.1	ACV42248.1
ASB32519.1	ACV42259.1
ASB32519.1	ACV42270.1
ASB32519.1	ACV42281.1
ASB32519.1	ACV42292.1
ASB32519.1	ADG08230.1
ASB32531.1	ASB32531.1
ASB32531.1	ASB32543.1
ASB32531.1	ASB33886.1
ASB32531.1	ATE48700.1
ASB32531.1	ATE48772.1
ASB32531.1	ATE48881.1
ASB32531.1	ATE48893.1
ASB32531.1	ATE48972.1
ASB32531.1	ATE49026.1
ASB32531.1	ATE49129.1
ASB32531.1	ATE49311.1
ASB32531.1	ATE49335.1
ASB32531.1	ATE49477.1
ASB32531.1	ATE49522.1
ASB32531.1	ASB33604.1
ASB32531.1	ASB33616.1
ASB32555.1	ASB32555.1
ASB32555.1	ASB32567.1
ASB32555.1	ASB32591.1
ASB32555.1	ASB32615.1
ASB32555.1	ASB32651.1
ASB32555.1	ASB32663.1
ASB32555.1	ASB32699.1
ASB32555.1	ASB32711.1
ASB32555.1	ASB32723.1
ASB32555.1	ASB32735.1
ASB32555.1	ASB32759.1
ASB32555.1	ASB32579.1
ASB32555.1	ASB32627.1
ASB32555.1	ASB32687.1
ASB32555.1	ASB32747.1
ASB32555.1	ANM87235.1
ASB32555.1	ALH26527.1
ASB32555.1	AKC44802.1
ASB32555.1	AKE37244.1
ASB32555.1	AKE37311.1
ASB32555.1	AKE37319.1
ASB32555.1	AKQ12358.1
ASB32555.1	AGS41679.1
ASB32555.1	AHG26489.1
ASB32555.1	AGI55652.1
ASB32555.1	AFX68943.1
ASB32555.1	AGF37691.1
ASB32555.1	AEJ82913.1
ASB32555.1	AFE03026.1
ASB32555.1	AUH29732.1
ASB32555.1	AUP48952.1
ASB32555.1	AHB23113.1
ASB32639.1	ASB32639.1
ASB32639.1	ASB33544.1
ASB32639.1	ASB33568.1
ASB32639.1	ASB33640.1
ASB32639.1	ASB33652.1
ASB32639.1	ASB33676.1
ASB32639.1	ASB33712.1
ASB32639.1	ASB33736.1
ASB32639.1	ASB33946.1
ASB32639.1	ARI68186.1
ASB32639.1	ARI68830.1
ASB32639.1	ARI69146.1
ASB32639.1	ARV89095.1
ASB32639.1	ARV89126.1
ASB32639.1	ARV89128.1
ASB32639.1	ARV89147.1
ASB32639.1	ARV89170.1
ASB32639.1	ARV89175.1
ASB32639.1	ARV89207.1
ASB32639.1	ARV89224.1
ASB32639.1	ARV89234.1
ASB32639.1	ARV89249.1
ASB32639.1	ARV89265.1
ASB32639.1	ARV89332.1
ASB32639.1	ARV89347.1
ASB32639.1	ARV89361.1
ASB32639.1	ARV89703.1
ASB32639.1	ARV89729.1
ASB32639.1	ARV89795.1
ASB32639.1	ASB32603.1
ASB32639.1	ASB33082.1
ASB32639.1	ASB33394.1
ASB32639.1	ASB33958.1
ASB32639.1	ASB33970.1
ASB32639.1	CRI00671.1
ASB32639.1	CRI05935.1
ASB32639.1	CRI06015.1
ASB32639.1	CRI06114.1
ASB32639.1	CRK54844.1
ASB32639.1	CRK76934.1
ASB32639.1	CRX62273.1
ASB32639.1	CRX62284.1
ASB32639.1	CRX62332.1
ASB32639.1	CRX62446.1
ASB32639.1	CRX62509.1
ASB32639.1	CRX62688.1
ASB32639.1	CRX62820.1
ASB32639.1	ARI68987.1
ASB32639.1	ARI69118.1
ASB32639.1	ARI69349.1
ASB32639.1	ARI69381.1
ASB32639.1	ARI69554.1
ASB32639.1	ARI69789.1
ASB32639.1	ARI69855.1
ASB32639.1	ARI69976.1
ASB32639.1	ARI70153.1
ASB32639.1	ARI70162.1
ASB32639.1	ARI70268.1
ASB32639.1	ARI70309.1
ASB32639.1	ARI70386.1
ASB32639.1	ARI70390.1
ASB32639.1	ARI70428.1
ASB32639.1	APG56733.1
ASB32639.1	AOX49639.1
ASB32639.1	AOX49718.1
ASB32639.1	ANZ03524.1
ASB32639.1	AMY16055.1
ASB32639.1	ALX28869.1
ASB32639.1	ALX28873.1
ASB32639.1	ALX28875.1
ASB32639.1	ALX28877.1
ASB32639.1	ALX28439.1
ASB32639.1	ALX28451.1
ASB32639.1	AKQ10312.1
ASB32639.1	AKQ10356.1
ASB32639.1	AKQ10367.1
ASB32639.1	AKQ10378.1
ASB32639.1	AKQ10389.1
ASB32639.1	AKQ10400.1
ASB32639.1	AKQ10422.1
ASB32639.1	AKQ10433.1
ASB32639.1	AKQ10444.1
ASB32639.1	AKQ10455.1
ASB32639.1	AKQ10466.1
ASB32639.1	AKQ10477.1
ASB32639.1	AKQ10488.1
ASB32639.1	AKQ10510.1
ASB32639.1	AKQ10521.1
ASB32639.1	AKQ10532.1
ASB32639.1	AKQ10543.1
ASB32639.1	AKQ10565.1
ASB32639.1	AKQ10587.1
ASB32639.1	AKQ10598.1
ASB32639.1	AKQ10620.1
ASB32639.1	AKQ10631.1
ASB32639.1	AKQ10653.1
ASB32639.1	AKQ10675.1
ASB32639.1	AKQ10686.1
ASB32639.1	AKQ10697.1
ASB32639.1	AKQ10708.1
ASB32639.1	AKQ10719.1
ASB32639.1	AKQ10730.1
ASB32639.1	AKQ10741.1
ASB32639.1	AKQ10752.1
ASB32639.1	AKQ10785.1
ASB32639.1	AKQ10796.1
ASB32639.1	AKQ10818.1
ASB32639.1	AKQ10829.1
ASB32639.1	AKQ10851.1
ASB32639.1	AKQ10862.1
ASB32639.1	AKQ10873.1
ASB32639.1	AKQ10884.1
ASB32639.1	AKQ10895.1
ASB32639.1	AKQ10906.1
ASB32639.1	AKQ10917.1
ASB32639.1	AKQ10928.1
ASB32639.1	AKQ10939.1
ASB32639.1	AKQ10950.1
ASB32639.1	AKQ10961.1
ASB32639.1	AKQ10983.1
ASB32639.1	AKQ10994.1
ASB32639.1	AKQ11005.1
ASB32639.1	AKQ11016.1
ASB32639.1	AKQ11027.1
ASB32639.1	AKQ11038.1
ASB32639.1	AKQ11060.1
ASB32639.1	AKQ11071.1
ASB32639.1	AKQ11082.1
ASB32639.1	AKQ11093.1
ASB32639.1	AKQ11104.1
ASB32639.1	AKQ11115.1
ASB32639.1	AKQ11126.1
ASB32639.1	AKQ11148.1
ASB32639.1	AKQ11170.1
ASB32639.1	AKQ11181.1
ASB32639.1	AKQ11192.1
ASB32639.1	AKQ11225.1
ASB32639.1	AKQ11247.1
ASB32639.1	AKQ11269.1
ASB32639.1	AKQ11280.1
ASB32639.1	AKQ11302.1
ASB32639.1	AKQ11313.1
ASB32639.1	AKQ11346.1
ASB32639.1	AKQ11357.1
ASB32639.1	AKQ11368.1
ASB32639.1	AKQ11379.1
ASB32639.1	AKQ11390.1
ASB32639.1	AKQ11401.1
ASB32639.1	AKQ11423.1
ASB32639.1	AKQ11522.1
ASB32639.1	ALD19375.1
ASB32639.1	ALD19403.1
ASB32639.1	ALE66535.1
ASB32639.1	AKC45053.1
ASB32639.1	AKE37259.1
ASB32639.1	AKJ80694.1
ASB32639.1	AKJ81335.1
ASB32639.1	AKJ81927.1
ASB32639.1	AKJ84143.1
ASB32639.1	AKJ84311.1
ASB32639.1	AKJ84318.1
ASB32639.1	AKQ11621.1
ASB32639.1	AKQ11643.1
ASB32639.1	AKQ12072.1
ASB32639.1	AKQ12105.1
ASB32639.1	AKQ12226.1
ASB32639.1	AKQ12248.1
ASB32639.1	AKQ12435.1
ASB32639.1	AKQ12457.1
ASB32639.1	AKQ12479.1
ASB32639.1	AKQ12501.1
ASB32639.1	AKQ12512.1
ASB32639.1	AKQ12523.1
ASB32639.1	AKQ12534.1
ASB32639.1	AKQ12556.1
ASB32639.1	AKQ12567.1
ASB32639.1	AKQ12578.1
ASB32639.1	AKQ12589.1
ASB32639.1	AKQ12600.1
ASB32639.1	AKQ12611.1
ASB32639.1	AKQ12622.1
ASB32639.1	AKQ12633.1
ASB32639.1	AKQ12644.1
ASB32639.1	AKQ12655.1
ASB32639.1	AIR93991.1
ASB32639.1	AIT16809.1
ASB32639.1	AIT16831.1
ASB32639.1	AIT16842.1
ASB32639.1	AIT16886.1
ASB32639.1	AIT16908.1
ASB32639.1	AIV09228.1
ASB32639.1	AJB43096.1
ASB32639.1	AJB43098.1
ASB32639.1	AJB43100.1
ASB32639.1	AJB43102.1
ASB32639.1	AJB43104.1
ASB32639.1	AJB43106.1
ASB32639.1	AJB43108.1
ASB32639.1	AJB43110.1
ASB32639.1	AJB43116.1
ASB32639.1	AJB43126.1
ASB32639.1	AJB43128.1
ASB32639.1	AJB43130.1
ASB32639.1	AJB43132.1
ASB32639.1	AJB43134.1
ASB32639.1	AJB43140.1
ASB32639.1	AJB43142.1
ASB32639.1	AJB43144.1
ASB32639.1	AJB43148.1
ASB32639.1	AJB43150.1
ASB32639.1	AJB43152.1
ASB32639.1	AJB43154.1
ASB32639.1	AJB43160.1
ASB32639.1	AJC68742.1
ASB32639.1	AJJ99310.1
ASB32639.1	AJJ99333.1
ASB32639.1	AJJ99344.1
ASB32639.1	AJJ99355.1
ASB32639.1	AJJ99388.1
ASB32639.1	AJJ99399.1
ASB32639.1	AJJ99503.1
ASB32639.1	AJJ99514.1
ASB32639.1	AJJ99580.1
ASB32639.1	AJJ99591.1
ASB32639.1	AJJ99602.1
ASB32639.1	AJJ99761.1
ASB32639.1	AJJ99784.1
ASB32639.1	AJJ99886.1
ASB32639.1	AJJ99963.1
ASB32639.1	AJK00065.1
ASB32639.1	AJK00123.1
ASB32639.1	AJS18428.1
ASB32639.1	AJS18441.1
ASB32639.1	AIL90273.1
ASB32639.1	AIL90284.1
ASB32639.1	AIL90295.1
ASB32639.1	AHI97871.1
ASB32639.1	AHI97878.1
ASB32639.1	AHN96481.1
ASB32639.1	AHX38122.1
ASB32639.1	AHY84475.1
ASB32639.1	AHY84497.1
ASB32639.1	AHY84530.1
ASB32639.1	AHY84640.1
ASB32639.1	AIA61996.1
ASB32639.1	AIC65503.1
ASB32639.1	AIC65568.1
ASB32639.1	AIC65600.1
ASB32639.1	AIC65611.1
ASB32639.1	AIC65633.1
ASB32639.1	AIC65644.1
ASB32639.1	AIC65655.1
ASB32639.1	AIE48826.1
ASB32639.1	AIE48848.1
ASB32639.1	AIE48859.1
ASB32639.1	AIE48870.1
ASB32639.1	AIE48881.1
ASB32639.1	AIE48892.1
ASB32639.1	AIE48914.1
ASB32639.1	AIE48937.1
ASB32639.1	AIE48948.1
ASB32639.1	AIE48970.1
ASB32639.1	AIE48981.1
ASB32639.1	AIE48992.1
ASB32639.1	AIE49003.1
ASB32639.1	AIE52304.1
ASB32639.1	AIE52318.1
ASB32639.1	AIE53151.1
ASB32639.1	AIE53228.1
ASB32639.1	AIE53280.1
ASB32639.1	AIE53348.1
ASB32639.1	AIE53359.1
ASB32639.1	AIE53408.1
ASB32639.1	AIE53419.1
ASB32639.1	AIE53430.1
ASB32639.1	AIE53537.1
ASB32639.1	AGN51202.1
ASB32639.1	AGN51267.1
ASB32639.1	AGV74688.1
ASB32639.1	AGV74996.1
ASB32639.1	AGW83127.1
ASB32639.1	AGW83149.1
ASB32639.1	AGW83160.1
ASB32639.1	AHC68919.1
ASB32639.1	AHF20489.1
ASB32639.1	AHI97744.1
ASB32639.1	AHI97755.1
ASB32639.1	AHI97778.1
ASB32639.1	AGI52426.1
ASB32639.1	AGI52492.1
ASB32639.1	AGI52528.1
ASB32639.1	AGI52536.1
ASB32639.1	AGI52570.1
ASB32639.1	AGI52637.1
ASB32639.1	AGI52663.1
ASB32639.1	AGI52715.1
ASB32639.1	AGI52814.1
ASB32639.1	AGI52847.1
ASB32639.1	AGI52868.1
ASB32639.1	AGI52946.1
ASB32639.1	AGI52972.1
ASB32639.1	AGI53054.1
ASB32639.1	AGI53071.1
ASB32639.1	AGI53144.1
ASB32639.1	AGI53191.1
ASB32639.1	AGI53203.1
ASB32639.1	AGI53273.1
ASB32639.1	AGI53324.1
ASB32639.1	AGI53338.1
ASB32639.1	AGI53512.1
ASB32639.1	AGI53538.1
ASB32639.1	AGI53553.1
ASB32639.1	AGI53607.1
ASB32639.1	AGI53758.1
ASB32639.1	AGI53778.1
ASB32639.1	AGI53837.1
ASB32639.1	AGI53962.1
ASB32639.1	AGI54088.1
ASB32639.1	AGI54149.1
ASB32639.1	AGI54278.1
ASB32639.1	AGI54328.1
ASB32639.1	AGI54386.1
ASB32639.1	AGI54436.1
ASB32639.1	AGI54474.1
ASB32639.1	AGI54670.1
ASB32639.1	AGI54699.1
ASB32639.1	AGI54719.1
ASB32639.1	AGI54805.1
ASB32639.1	AGI54823.1
ASB32639.1	AGI54878.1
ASB32639.1	AGI54948.1
ASB32639.1	AGI55032.1
ASB32639.1	AGI55059.1
ASB32639.1	AGI55075.1
ASB32639.1	AGI55217.1
ASB32639.1	AGI55311.1
ASB32639.1	AGI55353.1
ASB32639.1	AGI55412.1
ASB32639.1	AGI55484.1
ASB32639.1	AGI55501.1
ASB32639.1	AGJ73162.1
ASB32639.1	AGJ73176.1
ASB32639.1	AGJ73234.1
ASB32639.1	AGJ73241.1
ASB32639.1	AGJ73480.1
ASB32639.1	AGJ73490.1
ASB32639.1	AGK24376.1
ASB32639.1	AGK24386.1
ASB32639.1	AGK73033.1
ASB32639.1	AGK73462.1
ASB32639.1	AFO82794.1
ASB32639.1	AFP34736.1
ASB32639.1	AFP34746.1
ASB32639.1	AFP34756.1
ASB32639.1	AFP34766.1
ASB32639.1	AFP34794.1
ASB32639.1	AFP34804.1
ASB32639.1	AFP34844.1
ASB32639.1	AFP34854.1
ASB32639.1	AFP35007.1
ASB32639.1	AFP35015.1
ASB32639.1	AFP35029.1
ASB32639.1	AFP35103.1
ASB32639.1	AFP35117.1
ASB32639.1	AFP35185.1
ASB32639.1	AFP35243.1
ASB32639.1	AFP35287.1
ASB32639.1	AFP35297.1
ASB32639.1	AFP35335.1
ASB32639.1	AFP35350.1
ASB32639.1	AFP35360.1
ASB32639.1	AFP35370.1
ASB32639.1	AFP35380.1
ASB32639.1	AFP35430.1
ASB32639.1	AFP35440.1
ASB32639.1	AFP35470.1
ASB32639.1	AFP35482.1
ASB32639.1	AFP35516.1
ASB32639.1	AFP35610.1
ASB32639.1	AFP35646.1
ASB32639.1	AFP35876.1
ASB32639.1	AFP36024.1
ASB32639.1	AFP36044.1
ASB32639.1	AFP36052.1
ASB32639.1	AFS50198.1
ASB32639.1	AFU09109.1
ASB32639.1	AFU09519.1
ASB32639.1	AFU09529.1
ASB32639.1	AFU09539.1
ASB32639.1	AFU09549.1
ASB32639.1	AFU09627.1
ASB32639.1	AFU09637.1
ASB32639.1	AFU09647.1
ASB32639.1	AFU09657.1
ASB32639.1	AFU09677.1
ASB32639.1	AFU09687.1
ASB32639.1	AFU09696.1
ASB32639.1	AFU09706.1
ASB32639.1	AFU09715.1
ASB32639.1	AFU09725.1
ASB32639.1	AFU09734.1
ASB32639.1	AFU09744.1
ASB32639.1	AFU09754.1
ASB32639.1	AFU09764.1
ASB32639.1	AFU09774.1
ASB32639.1	AFU09784.1
ASB32639.1	AFU09794.1
ASB32639.1	AFU09804.1
ASB32639.1	AFU09814.1
ASB32639.1	AFU09824.1
ASB32639.1	AFU09834.1
ASB32639.1	AFU09854.1
ASB32639.1	AFV31526.1
ASB32639.1	AFV31563.1
ASB32639.1	AFV33837.1
ASB32639.1	AGA19325.1
ASB32639.1	AGB84863.1
ASB32639.1	AGB84873.1
ASB32639.1	AGB84893.1
ASB32639.1	AGC96210.1
ASB32639.1	AGF37685.1
ASB32639.1	AGF37697.1
ASB32639.1	AGG53669.1
ASB32639.1	AGG86794.1
ASB32639.1	ADN25591.1
ASB32639.1	ADN25592.1
ASB32639.1	ADN25593.1
ASB32639.1	ADN25594.1
ASB32639.1	ADN25595.1
ASB32639.1	ADN25596.1
ASB32639.1	ADN25597.1
ASB32639.1	ADN25598.1
ASB32639.1	ADN25599.1
ASB32639.1	ADN25600.1
ASB32639.1	ADN25601.1
ASB32639.1	ADN25602.1
ASB32639.1	ADN25603.1
ASB32639.1	ADN25604.1
ASB32639.1	ADN25605.1
ASB32639.1	ADN25606.1
ASB32639.1	ADN78218.1
ASB32639.1	ADN78227.1
ASB32639.1	ADP92472.1
ASB32639.1	ADT79241.1
ASB32639.1	ADU85608.1
ASB32639.1	ADU85618.1
ASB32639.1	ADU85628.1
ASB32639.1	ADU85783.1
ASB32639.1	ADU85784.1
ASB32639.1	ADU85785.1
ASB32639.1	ADU85786.1
ASB32639.1	AEA29285.1
ASB32639.1	AEA29289.1
ASB32639.1	AEA29293.1
ASB32639.1	AEE68998.1
ASB32639.1	AEF29003.1
ASB32639.1	AEJ82887.1
ASB32639.1	AEJ82889.1
ASB32639.1	AEJ82890.1
ASB32639.1	AEJ82891.1
ASB32639.1	AEJ82892.1
ASB32639.1	AEJ82893.1
ASB32639.1	AEJ82894.1
ASB32639.1	AEJ82895.1
ASB32639.1	AEJ82896.1
ASB32639.1	AEJ82898.1
ASB32639.1	AEJ82900.1
ASB32639.1	AEJ82901.1
ASB32639.1	AEJ82905.1
ASB32639.1	AEJ82909.1
ASB32639.1	AEK86064.1
ASB32639.1	AEK86065.1
ASB32639.1	AEK86066.1
ASB32639.1	AEK86067.1
ASB32639.1	AEK86068.1
ASB32639.1	AEK86069.1
ASB32639.1	AEK86070.1
ASB32639.1	AEK86071.1
ASB32639.1	AEK86072.1
ASB32639.1	AEK86073.1
ASB32639.1	AEK86074.1
ASB32639.1	AEK86075.1
ASB32639.1	AEK86076.1
ASB32639.1	AEN68513.1
ASB32639.1	AEN68966.1
ASB32639.1	AEN68970.1
ASB32639.1	AEN68973.1
ASB32639.1	AEV21633.1
ASB32639.1	AEW46922.1
ASB32639.1	AEW46942.1
ASB32639.1	AEW46952.1
ASB32639.1	AEX30559.1
ASB32639.1	AEX30599.1
ASB32639.1	AEZ01122.1
ASB32639.1	AEZ01132.1
ASB32639.1	AFC18489.1
ASB32639.1	AFC18499.1
ASB32639.1	AFC18509.1
ASB32639.1	AFC18519.1
ASB32639.1	AFC18529.1
ASB32639.1	AFC18539.1
ASB32639.1	AFC18549.1
ASB32639.1	AFC18569.1
ASB32639.1	AFC18609.1
ASB32639.1	AFC36376.1
ASB32639.1	AFC36396.1
ASB32639.1	AFE11276.1
ASB32639.1	AFL56854.1
ASB32639.1	AFL56860.1
ASB32639.1	AFL56873.1
ASB32639.1	AFL56915.1
ASB32639.1	AFL56921.1
ASB32639.1	ADD21391.1
ASB32639.1	ADD21401.1
ASB32639.1	ADF27351.1
ASB32639.1	ADG58729.1
ASB32639.1	ADG58730.1
ASB32639.1	ADG58731.1
ASB32639.1	ADG58732.1
ASB32639.1	ADG58733.1
ASB32639.1	ADG58734.1
ASB32639.1	ADG58738.1
ASB32639.1	ADG58739.1
ASB32639.1	ADG58740.1
ASB32639.1	ADG58746.1
ASB32639.1	ADG58747.1
ASB32639.1	ADG58748.1
ASB32639.1	ADG58749.1
ASB32639.1	ADG59619.1
ASB32639.1	ADH29488.1
ASB32639.1	ADH29491.1
ASB32639.1	ADJ00457.1
ASB32639.1	ADJ00458.1
ASB32639.1	ADJ00459.1
ASB32639.1	ADJ00461.1
ASB32639.1	ADJ37858.1
ASB32639.1	ADJ37861.1
ASB32639.1	ADJ37862.1
ASB32639.1	ADJ37863.1
ASB32639.1	ADJ37864.1
ASB32639.1	ADJ37865.1
ASB32639.1	ADJ37866.1
ASB32639.1	ADJ37867.1
ASB32639.1	ADJ37868.1
ASB32639.1	ADJ37869.1
ASB32639.1	ADJ37870.1
ASB32639.1	ADJ37871.1
ASB32639.1	ADJ37872.1
ASB32639.1	ADJ37873.1
ASB32639.1	ADJ37875.1
ASB32639.1	ADJ37876.1
ASB32639.1	ADJ37877.1
ASB32639.1	ADJ37878.1
ASB32639.1	ADJ37881.1
ASB32639.1	ADJ37882.1
ASB32639.1	ADJ37887.1
ASB32639.1	ADJ37888.1
ASB32639.1	ADJ37889.1
ASB32639.1	ADJ37892.1
ASB32639.1	ADJ37893.1
ASB32639.1	ADJ37894.1
ASB32639.1	ADJ37895.1
ASB32639.1	ADJ37896.1
ASB32639.1	ADJ37898.1
ASB32639.1	ADJ37899.1
ASB32639.1	ADJ37900.1
ASB32639.1	ADJ37901.1
ASB32639.1	ADJ37902.1
ASB32639.1	ADJ37903.1
ASB32639.1	ADJ37904.1
ASB32639.1	ADJ37905.1
ASB32639.1	ADJ37907.1
ASB32639.1	ADJ37908.1
ASB32639.1	ADJ37911.1
ASB32639.1	ADJ37912.1
ASB32639.1	ADJ37915.1
ASB32639.1	ADJ37917.1
ASB32639.1	ADJ37918.1
ASB32639.1	ADJ37919.1
ASB32639.1	ADJ37921.1
ASB32639.1	ADJ37922.1
ASB32639.1	ADJ37923.1
ASB32639.1	ADJ37924.1
ASB32639.1	ADJ37925.1
ASB32639.1	ADJ37927.1
ASB32639.1	ADJ37931.1
ASB32639.1	ADL14537.1
ASB32639.1	ADL41163.1
ASB32639.1	ADL41172.1
ASB32639.1	ADN25400.1
ASB32639.1	ADN25401.1
ASB32639.1	ADN25402.1
ASB32639.1	ADN25403.1
ASB32639.1	ADN25404.1
ASB32639.1	ADN25405.1
ASB32639.1	ADN25406.1
ASB32639.1	ADN25407.1
ASB32639.1	ADN25408.1
ASB32639.1	ADN25409.1
ASB32639.1	ADN25410.1
ASB32639.1	ADN25411.1
ASB32639.1	ADN25412.1
ASB32639.1	ADN25413.1
ASB32639.1	ADN25414.1
ASB32639.1	ADN25415.1
ASB32639.1	ADN25416.1
ASB32639.1	ADN25417.1
ASB32639.1	ADN25418.1
ASB32639.1	ADN25419.1
ASB32639.1	ADN25420.1
ASB32639.1	ADN25421.1
ASB32639.1	ADN25422.1
ASB32639.1	ADN25423.1
ASB32639.1	ADN25424.1
ASB32639.1	ADN25425.1
ASB32639.1	ADN25426.1
ASB32639.1	ADN25427.1
ASB32639.1	ADN25428.1
ASB32639.1	ADN25429.1
ASB32639.1	ADN25430.1
ASB32639.1	ADN25431.1
ASB32639.1	ADN25432.1
ASB32639.1	ADN25433.1
ASB32639.1	ADN25434.1
ASB32639.1	ADN25435.1
ASB32639.1	ADN25436.1
ASB32639.1	ADN25437.1
ASB32639.1	ADN25438.1
ASB32639.1	ADN25439.1
ASB32639.1	ADN25440.1
ASB32639.1	ADN25441.1
ASB32639.1	ADN25442.1
ASB32639.1	ADN25443.1
ASB32639.1	ADN25445.2
ASB32639.1	ADN25446.1
ASB32639.1	ADN25447.1
ASB32639.1	ADN25448.1
ASB32639.1	ADN25449.1
ASB32639.1	ADN25450.1
ASB32639.1	ADN25451.1
ASB32639.1	ADN25452.1
ASB32639.1	ADN25453.1
ASB32639.1	ADN25454.1
ASB32639.1	ADN25455.1
ASB32639.1	ADN25456.1
ASB32639.1	ADN25457.1
ASB32639.1	ADN25458.1
ASB32639.1	ADN25459.1
ASB32639.1	ADN25460.1
ASB32639.1	ADN25461.1
ASB32639.1	ADN25462.1
ASB32639.1	ADN25463.1
ASB32639.1	ADN25464.1
ASB32639.1	ADN25465.1
ASB32639.1	ADN25466.1
ASB32639.1	ADN25467.1
ASB32639.1	ADN25468.1
ASB32639.1	ADN25469.1
ASB32639.1	ADN25470.1
ASB32639.1	ADN25471.1
ASB32639.1	ADN25472.1
ASB32639.1	ADN25473.1
ASB32639.1	ADN25474.1
ASB32639.1	ADN25475.1
ASB32639.1	ADN25476.1
ASB32639.1	ADN25477.1
ASB32639.1	ADN25478.1
ASB32639.1	ADN25479.1
ASB32639.1	ADN25480.1
ASB32639.1	ADN25481.1
ASB32639.1	ADN25482.1
ASB32639.1	ADN25483.1
ASB32639.1	ADN25484.1
ASB32639.1	ADN25485.1
ASB32639.1	ADN25486.1
ASB32639.1	ADN25487.1
ASB32639.1	ADN25488.1
ASB32639.1	ADN25489.1
ASB32639.1	ADN25490.1
ASB32639.1	ADN25491.1
ASB32639.1	ADN25492.1
ASB32639.1	ADN25493.1
ASB32639.1	ADN25494.1
ASB32639.1	ADN25495.1
ASB32639.1	ADN25496.1
ASB32639.1	ADN25497.1
ASB32639.1	ADN25498.1
ASB32639.1	ADN25499.1
ASB32639.1	ADN25500.1
ASB32639.1	ADN25501.1
ASB32639.1	ADN25502.1
ASB32639.1	ADN25503.1
ASB32639.1	ADN25504.1
ASB32639.1	ADN25505.1
ASB32639.1	ADN25506.1
ASB32639.1	ADN25507.1
ASB32639.1	ADN25508.1
ASB32639.1	ADN25509.1
ASB32639.1	ADN25510.1
ASB32639.1	ADN25511.1
ASB32639.1	ADN25512.1
ASB32639.1	ADN25513.1
ASB32639.1	ADN25514.1
ASB32639.1	ADN25515.1
ASB32639.1	ADN25516.1
ASB32639.1	ADN25517.1
ASB32639.1	ADN25518.1
ASB32639.1	ADN25519.1
ASB32639.1	ADN25520.1
ASB32639.1	ADN25521.1
ASB32639.1	ADN25522.1
ASB32639.1	ADN25523.1
ASB32639.1	ADN25524.1
ASB32639.1	ADN25525.1
ASB32639.1	ADN25526.1
ASB32639.1	ADN25527.1
ASB32639.1	ADN25528.1
ASB32639.1	ADN25529.1
ASB32639.1	ADN25530.1
ASB32639.1	ADN25531.1
ASB32639.1	ADN25532.1
ASB32639.1	ADN25533.1
ASB32639.1	ADN25534.1
ASB32639.1	ADN25535.1
ASB32639.1	ADN25536.1
ASB32639.1	ADN25537.1
ASB32639.1	ADN25538.1
ASB32639.1	ADN25539.1
ASB32639.1	ADN25540.1
ASB32639.1	ADN25541.1
ASB32639.1	ADN25542.1
ASB32639.1	ADN25543.1
ASB32639.1	ADN25544.1
ASB32639.1	ADN25545.1
ASB32639.1	ADN25546.1
ASB32639.1	ADN25547.1
ASB32639.1	ADN25548.1
ASB32639.1	ADN25549.1
ASB32639.1	ADN25550.1
ASB32639.1	ADN25551.1
ASB32639.1	ADN25552.1
ASB32639.1	ADN25553.1
ASB32639.1	ADN25554.1
ASB32639.1	ADN25555.1
ASB32639.1	ADN25556.1
ASB32639.1	ADN25557.1
ASB32639.1	ADN25558.1
ASB32639.1	ADN25559.1
ASB32639.1	ADN25560.1
ASB32639.1	ADN25561.1
ASB32639.1	ADN25562.1
ASB32639.1	ADN25563.1
ASB32639.1	ADN25564.1
ASB32639.1	ADN25565.1
ASB32639.1	ADN25566.1
ASB32639.1	ADN25567.1
ASB32639.1	ADN25568.1
ASB32639.1	ADN25569.1
ASB32639.1	ADN25570.1
ASB32639.1	ADN25571.1
ASB32639.1	ADN25572.1
ASB32639.1	ADN25573.1
ASB32639.1	ADN25574.1
ASB32639.1	ADN25575.1
ASB32639.1	ADN25576.1
ASB32639.1	ADN25577.1
ASB32639.1	ADN25578.1
ASB32639.1	ADN25579.1
ASB32639.1	ADN25580.1
ASB32639.1	ADN25581.1
ASB32639.1	ADN25582.1
ASB32639.1	ADN25583.1
